Info,UF,Município,Metro/Interior,Ano_Semana,CasosAcumulados,CasosNovos,ObitosAcumulados,ObitosNovos
COVID19Casos,AC,Acrelândia,Interior,9/2023,24.345,3.0,280.0,0
COVID19Casos,AC,Assis Brasil,Interior,9/2023,15.813,0.0,182.0,0
COVID19Casos,AC,Brasiléia,Interior,9/2023,28.548,1.0,364.0,0
COVID19Casos,AC,Bujari,Interior,9/2023,11.599,0.0,126.0,0
COVID19Casos,AC,Capixaba,Interior,9/2023,8.372,0.0,133.0,0
COVID19Casos,AC,Cruzeiro do Sul,Interior,9/2023,119.935,6.0,1.309,0
COVID19Casos,AC,Epitaciolândia,Interior,9/2023,15.421,0.0,280.0,0
COVID19Casos,AC,Feijó,Interior,9/2023,28.478,2.0,483.0,0
COVID19Casos,AC,Jordão,Interior,9/2023,5.145,0.0,14.0,0
COVID19Casos,AC,Mâncio Lima,Interior,9/2023,22.078,0.0,259.0,0
COVID19Casos,AC,Manoel Urbano,Interior,9/2023,8.274,0.0,119.0,0
COVID19Casos,AC,Marechal Thaumaturgo,Interior,9/2023,13.273,1.0,105.0,0
COVID19Casos,AC,Plácido de Castro,Interior,9/2023,26.247,2.0,196.0,0
COVID19Casos,AC,Porto Acre,Interior,9/2023,18.350,1.0,294.0,0
COVID19Casos,AC,Porto Walter,Interior,9/2023,3.997,0.0,49.0,0
COVID19Casos,AC,Rio Branco,Reg. Metropolitana,9/2023,596.860,53.0,8.47,0
COVID19Casos,AC,Rodrigues Alves,Interior,9/2023,7.644,0.0,98.0,0
COVID19Casos,AC,Santa Rosa do Purus,Interior,9/2023,8.463,0.0,49.0,0
COVID19Casos,AC,Sena Madureira,Interior,9/2023,62.679,1.0,602.0,0
COVID19Casos,AC,Senador Guiomard,Interior,9/2023,22.645,0.0,308.0,0
COVID19Casos,AC,Tarauacá,Interior,9/2023,49.448,0.0,350.0,0
COVID19Casos,AC,Xapuri,Interior,9/2023,25.235,0.0,231.0,0
COVID19Casos,AL,,Interior,9/2023,0,0.0,0.0,0
COVID19Casos,AL,Água Branca,Interior,9/2023,7.805,0.0,217.0,0
COVID19Casos,AL,Anadia,Interior,9/2023,13.377,0.0,273.0,0
COVID19Casos,AL,Arapiraca,Interior,9/2023,292.780,7.0,4.144,0
COVID19Casos,AL,Atalaia,Interior,9/2023,15.768,1.0,434.0,0
COVID19Casos,AL,Barra de Santo Antônio,Reg. Metropolitana,9/2023,4.578,0.0,231.0,0
COVID19Casos,AL,Barra de São Miguel,Reg. Metropolitana,9/2023,7.616,0.0,77.0,0
COVID19Casos,AL,Batalha,Interior,9/2023,9.268,0.0,175.0,0
COVID19Casos,AL,Belém,Interior,9/2023,1.848,0.0,56.0,0
COVID19Casos,AL,Belo Monte,Interior,9/2023,4.788,0.0,77.0,0
COVID19Casos,AL,Boca da Mata,Interior,9/2023,20.165,1.0,371.0,0
COVID19Casos,AL,Branquinha,Interior,9/2023,8.421,0.0,119.0,0
COVID19Casos,AL,Cacimbinhas,Interior,9/2023,8.078,0.0,91.0,0
COVID19Casos,AL,Cajueiro,Interior,9/2023,6.571,1.0,252.0,0
COVID19Casos,AL,Campestre,Interior,9/2023,2.205,0.0,49.0,0
COVID19Casos,AL,Campo Alegre,Interior,9/2023,23.811,1.0,609.0,0
COVID19Casos,AL,Campo Grande,Interior,9/2023,4.746,0.0,77.0,0
COVID19Casos,AL,Canapi,Interior,9/2023,5.012,0.0,112.0,0
COVID19Casos,AL,Capela,Interior,9/2023,10.486,0.0,140.0,0
COVID19Casos,AL,Carneiros,Interior,9/2023,3.360,0.0,77.0,0
COVID19Casos,AL,Chã Preta,Interior,9/2023,3.472,0.0,84.0,0
COVID19Casos,AL,Coité do Nóia,Interior,9/2023,5.461,1.0,161.0,0
